Residence,Work,Commute rate
45,23,0.000126685
42,36,0.000126504
29,37,0.000125929
25,16,0.000125874
25,40,0.000125776
7,22,0.000125538
16,26,0.000125107
24,12,0.000124812
41,45,0.000124401
35,23,0.000124123
46,28,0.00012388
9,20,0.000123711
3,22,0.00012348
28,17,0.000123461
14,26,0.000122969
17,12,0.000122773
44,23,0.000122527
1,2,0.000122404
11,28,0.000120608
25,12,0.00012039
21,17,0.000120218
6,8,0.00011975
47,24,0.000119608
23,17,0.000118572
20,27,0.000118559
28,38,0.000118132
22,21,0.000117878
1,27,0.000117321
19,9,0.000116722
2,10,0.000116054
47,12,0.000115932
37,26,0.000115813
39,40,0.000115764
24,33,0.000115294
30,14,0.000114915
3,27,0.000114596
46,42,0.000114368
14,24,0.000113817
4,34,0.000113807
17,22,0.000113601
6,12,0.000113014
29,17,0.000112719
13,26,0.000111924
18,24,0.000111672
29,7,0.000111154
27,21,0.000111017
25,30,0.000110723
39,14,0.000110596
12,19,0.000110292
27,17,0.000110072
9,15,0.000109999
23,40,0.000109633
44,33,0.000109456
46,35,0.000109209
36,26,0.00010811
45,36,0.000106742
8,15,0.000106143
24,9,0.000105997
36,14,0.000105908
30,12,0.000105131
22,4,0.000104999
41,14,0.000104796
13,34,0.000104759
26,37,0.000104459
25,10,0.000104371
12,34,0.000104087
16,11,0.000103676
22,8,0.000103472
35,12,0.000102364
21,11,0.000102362
20,9,0.000102302
24,7,0.000102164
16,25,0.000101305
45,41,0.000101261
16,22,0.000101159
28,21,0.000100911
3,34,0.000100435
43,24,0.000100354
32,14,0.000100282
40,24,0.000100244
34,24,0.000100188
2,27,9.98E-05
33,12,9.93E-05
42,31,9.93E-05
22,20,9.89E-05
23,4,9.87E-05
35,42,9.85E-05
15,27,9.84E-05
28,35,9.84E-05
6,2,9.83E-05
20,24,9.82E-05
46,41,9.80E-05
20,7,9.78E-05
12,24,9.76E-05
10,19,9.73E-05
15,23,9.73E-05
2,6,9.71E-05
22,7,9.71E-05
24,4,9.65E-05
46,47,9.63E-05
20,8,9.62E-05
33,22,9.61E-05
7,2,9.59E-05
33,25,9.59E-05
41,4,9.57E-05
42,7,9.57E-05
40,11,9.52E-05
23,34,9.48E-05
41,38,9.48E-05
2,22,9.43E-05
40,22,9.42E-05
44,12,9.41E-05
2,28,9.40E-05
25,20,9.37E-05
37,35,9.37E-05
32,23,9.35E-05
39,4,9.33E-05
24,18,9.30E-05
40,38,9.30E-05
24,8,9.29E-05
1,8,9.24E-05
41,7,9.21E-05
36,30,9.20E-05
3,9,9.17E-05
20,17,9.14E-05
21,12,9.14E-05
29,20,9.13E-05
30,34,9.13E-05
30,22,9.08E-05
30,33,9.07E-05
11,3,9.06E-05
41,47,9.06E-05
22,28,9.03E-05
28,8,9.03E-05
4,10,9.02E-05
18,22,9.00E-05
39,35,9.00E-05
26,16,8.99E-05
42,1,8.90E-05
7,1,8.88E-05
25,8,8.76E-05
39,23,8.74E-05
40,4,8.74E-05
24,17,8.70E-05
32,40,8.69E-05
26,4,8.68E-05
39,46,8.65E-05
8,28,8.62E-05
14,3,8.61E-05
7,27,8.60E-05
15,8,8.56E-05
34,12,8.48E-05
17,1,8.46E-05
2,38,8.41E-05
33,39,8.38E-05
42,24,8.37E-05
8,1,8.36E-05
42,4,8.36E-05
36,40,8.31E-05
11,34,8.30E-05
27,7,8.30E-05
43,47,8.30E-05
28,1,8.29E-05
42,37,8.29E-05
29,8,8.27E-05
4,28,8.26E-05
4,40,8.23E-05
27,38,8.23E-05
24,34,8.20E-05
22,9,8.17E-05
23,18,8.17E-05
28,7,8.17E-05
24,20,8.16E-05
27,16,8.13E-05
18,15,8.10E-05
27,35,8.08E-05
43,33,8.08E-05
36,12,8.07E-05
27,8,8.06E-05
30,40,8.04E-05
32,26,8.02E-05
24,40,8.01E-05
33,36,7.99E-05
2,34,7.98E-05
27,36,7.96E-05
39,22,7.96E-05
8,2,7.90E-05
12,3,7.90E-05
29,16,7.87E-05
17,7,7.84E-05
43,11,7.83E-05
15,9,7.81E-05
5,1,7.73E-05
5,23,7.73E-05
27,1,7.73E-05
27,20,7.70E-05
39,44,7.66E-05
31,24,7.62E-05
3,23,7.61E-05
42,8,7.58E-05
7,20,7.54E-05
19,15,7.51E-05
17,38,7.49E-05
6,1,7.47E-05
25,4,7.45E-05
7,23,7.43E-05
29,1,7.43E-05
47,7,7.42E-05
5,8,7.41E-05
45,12,7.35E-05
35,41,7.32E-05
33,24,7.29E-05
35,43,7.29E-05
8,20,7.28E-05
13,3,7.25E-05
16,12,7.25E-05
32,37,7.25E-05
37,22,7.23E-05
14,25,7.19E-05
43,12,7.18E-05
46,7,7.18E-05
3,28,7.15E-05
18,12,7.15E-05
11,24,7.13E-05
40,26,7.12E-05
38,44,7.10E-05
11,26,7.02E-05
16,24,7.02E-05
32,38,7.01E-05
17,34,7.00E-05
17,24,6.99E-05
29,38,6.97E-05
9,3,6.96E-05
12,26,6.87E-05
16,28,6.86E-05
9,24,6.85E-05
19,25,6.85E-05
3,33,6.84E-05
29,35,6.83E-05
31,38,6.81E-05
29,36,6.79E-05
38,10,6.76E-05
26,35,6.71E-05
34,11,6.69E-05
39,12,6.65E-05
45,7,6.62E-05
42,47,6.59E-05
46,22,6.58E-05
16,10,6.57E-05
41,33,6.56E-05
19,27,6.55E-05
29,10,6.55E-05
37,11,6.53E-05
34,26,6.52E-05
13,24,6.51E-05
30,38,6.48E-05
38,7,6.48E-05
46,33,6.47E-05
31,37,6.43E-05
40,37,6.41E-05
47,11,6.40E-05
15,22,6.37E-05
16,1,6.37E-05
33,11,6.37E-05
44,22,6.34E-05
39,24,6.33E-05
34,4,6.32E-05
40,7,6.32E-05
23,16,6.31E-05
31,25,6.31E-05
22,26,6.28E-05
26,7,6.25E-05
35,22,6.21E-05
23,8,6.18E-05
4,24,6.17E-05
45,24,6.17E-05
12,33,6.16E-05
14,17,6.16E-05
30,18,6.16E-05
43,36,6.16E-05
5,10,6.14E-05
45,47,6.13E-05
29,9,6.12E-05
23,7,6.10E-05
26,1,6.10E-05
36,35,6.08E-05
28,16,6.06E-05
36,11,6.05E-05
41,26,6.05E-05
35,31,6.03E-05
6,27,6.02E-05
30,36,5.97E-05
26,38,5.96E-05
21,7,5.95E-05
30,21,5.95E-05
25,9,5.94E-05
16,4,5.93E-05
37,12,5.92E-05
16,7,5.90E-05
44,36,5.89E-05
23,1,5.83E-05
40,8,5.83E-05
26,8,5.82E-05
5,9,5.81E-05
6,10,5.81E-05
7,5,5.81E-05
11,6,5.81E-05
28,42,5.81E-05
31,40,5.81E-05
8,19,5.79E-05
24,15,5.79E-05
25,37,5.77E-05
38,12,5.77E-05
40,1,5.77E-05
8,26,5.76E-05
21,4,5.74E-05
39,11,5.73E-05
9,19,5.72E-05
13,21,5.72E-05
30,37,5.72E-05
2,33,5.70E-05
34,36,5.70E-05
26,20,5.69E-05
47,1,5.68E-05
24,38,5.67E-05
33,4,5.67E-05
35,11,5.66E-05
17,9,5.65E-05
21,40,5.63E-05
18,4,5.62E-05
14,21,5.59E-05
28,20,5.59E-05
20,4,5.52E-05
4,36,5.50E-05
38,25,5.48E-05
11,2,5.44E-05
15,3,5.44E-05
43,37,5.44E-05
46,12,5.44E-05
30,11,5.43E-05
46,4,5.42E-05
47,4,5.42E-05
34,7,5.41E-05
42,45,5.41E-05
44,37,5.40E-05
1,28,5.39E-05
35,37,5.39E-05
8,24,5.36E-05
6,23,5.35E-05
4,16,5.34E-05
41,24,5.33E-05
13,17,5.31E-05
38,26,5.31E-05
10,6,5.30E-05
14,47,5.30E-05
14,33,5.27E-05
44,7,5.24E-05
41,37,5.23E-05
4,35,5.22E-05
14,16,5.22E-05
32,7,5.21E-05
33,44,5.21E-05
47,28,5.21E-05
25,7,5.20E-05
32,18,5.19E-05
14,6,5.18E-05
11,17,5.17E-05
11,21,5.16E-05
9,1,5.15E-05
31,22,5.12E-05
32,4,5.11E-05
1,22,5.10E-05
19,38,5.10E-05
23,33,5.10E-05
28,32,5.09E-05
46,36,5.09E-05
9,40,5.08E-05
17,40,5.08E-05
35,7,5.07E-05
22,25,5.06E-05
47,46,5.06E-05
42,22,5.04E-05
25,38,5.03E-05
26,36,5.03E-05
35,25,5.03E-05
