Dep_reg_code,Arr_reg_code,Total
13,20,4251.8
13,21,561.6
13,22,9915.8461
13,23,10592.107
13,24,98.4
13,25,446.3
13,26,5391.5
13,27,13563.881
13,28,2586.764
13,29,49.7
13,30,211.867
13,31,485.899
13,32,394.544
13,33,1354.217
13,34,2347.511
13,35,868.415
13,36,501.237
13,37,772.383
13,38,792.245
13,39,464.343
13,40,5176.6742
13,41,229.763
13,42,864.861
13,43,943.311
13,44,613.897
13,45,678.8
13,46,1227.434
13,47,3342.278
14,1,7.1
14,2,78.5
14,3,106
14,4,262.6
14,5,42.4
14,6,79.2
14,7,197.3
14,8,753.3
14,9,804
14,10,372.6
14,11,9257.5
14,12,11404.262
14,13,312219.344
14,14,0
14,15,230.3
14,16,57.7
14,17,69.1
14,18,63.2
14,19,680.7
14,20,293.2
14,21,134.3
14,22,7449.1
14,23,2636
14,24,34
14,25,139
14,26,1367.7
14,27,2258.8
14,28,529.3
14,29,15.7
14,30,33
14,31,8.8
14,32,12.9
14,33,213.1
14,34,368
14,35,69.8
14,36,2.2
14,37,38.7
14,38,20
14,39,4.5
14,40,144.6
14,41,4.9
14,42,6.3
14,43,8.7
14,44,8.5
14,45,0.4
14,46,4.9
14,47,0
15,1,93.3153
15,2,17.4
15,3,9.8
15,4,30.8
15,5,30.4117
15,6,84.7
15,7,34
15,8,27.2
15,9,38.3
15,10,232
15,11,823.4
15,12,218.097
15,13,3690.2
15,14,219.2
15,15,0
15,16,95.8
15,17,97.9
15,18,14.8709
15,19,6.8
15,20,136.9
15,21,7.5
15,22,42.7
15,23,114.597
15,24,2.2
15,25,5.5
15,26,44.2
15,27,390.218
15,28,21.1
15,29,1.1
15,30,1.5
15,31,0.8
15,32,0.8
15,33,8
15,34,15.3
15,35,3
15,36,0
15,37,2.5
15,38,1.2
15,39,0.1
15,40,59.846
15,41,0
15,42,0.2
15,43,0.2
15,44,0.2
15,45,0.1
15,46,0.2
15,47,17.346
16,1,32.322
16,2,4
16,3,6.1
16,4,15.8
16,5,2.1
16,6,3.4
16,7,5.9
16,8,9.8
16,9,13.2
16,10,29
16,11,180.9
16,12,47
16,13,1226.188
16,14,57
16,15,95.6
16,16,0
16,17,670.6
16,18,41.2
16,19,3.5
16,20,84.3
16,21,36.9
16,22,18.6
16,23,95.8
16,24,1.1
16,25,17.4
16,26,118.3
16,27,340.8
16,28,34.9
16,29,1.8
16,30,2.7
16,31,1
16,32,1.1
16,33,11
16,34,19.2
16,35,4.4
16,36,0
16,37,3.6
16,38,2
16,39,0.4
16,40,13.7
16,41,0.7
16,42,1.2
16,43,2.1
16,44,1.2
16,45,0
16,46,1
16,47,0
17,1,40.92
17,2,6.1
17,3,8.3
17,4,42.201
17,5,2.5
17,6,5.2
17,7,10.6
17,8,12.1
17,9,22.1
17,10,50.1
17,11,263.1
17,12,64.791
17,13,1819.101
17,14,67.4
17,15,97.8
17,16,675.5
17,17,0
17,18,743.3
17,19,4.9
17,20,114.1
17,21,39.3
17,22,50.8
17,23,318.9
17,24,3.3
17,25,76.1
17,26,380.5
17,27,838
17,28,79.5
17,29,4
17,30,7
17,31,2.6
17,32,1.9
17,33,29
17,34,53.1
17,35,10.8
17,36,0
17,37,8.4
17,38,3.6
17,39,1.6
17,40,127.5
17,41,1.9
17,42,2.2
17,43,4
17,44,3.4
17,45,0.2
17,46,2.8
17,47,36.587
18,1,5.4496
18,2,1.7
18,3,2.1
18,4,4.3
18,5,1.5989
18,6,1.2
18,7,4.2
18,8,7.4
18,9,5.4
18,10,7.7
18,11,28.5
18,12,17.4
18,13,304.3
18,14,66.4
18,15,13.532
18,16,41.5
18,17,743.4
18,18,0
18,19,1.4
18,20,17.7
18,21,29.4
18,22,28.8
18,23,184.1
18,24,2.1
18,25,198.9
18,26,417.7
18,27,593.4
18,28,69.1
18,29,3.3
18,30,153.1
18,31,1.6
18,32,1.9
18,33,13.7
18,34,22.1
18,35,6.2
18,36,0
18,37,4.8
18,38,2.2
18,39,1
18,40,27
18,41,1.7
18,42,2.6
18,43,2.9
18,44,2.6
18,45,0
18,46,2.4
18,47,0
19,1,0.1
19,2,3
19,3,5
19,4,11.4
19,5,1.2
19,6,2.6
19,7,5
19,8,11.8
19,9,42.3
19,10,5.9
19,11,184.9
19,12,153.6
19,13,5615.9
19,14,709
19,15,6.9
19,16,3.4
19,17,4.7
19,18,1.4
19,19,0
19,20,385.5
19,21,3.7
19,22,111.7
19,23,34.3
19,24,1
19,25,1.8
19,26,18.3
19,27,29.2
19,28,10.6
19,29,0.3
19,30,0.9
19,31,0.1
19,32,0
19,33,3.3
19,34,5
19,35,1.3
